epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2377.66,0.55509,0.45574,0.93269,0.99379,0.99305,0.99315,0.93095,0.39434,0.2077,0.82943,0.005842,0.005842,0.005842
44,2431.07,0.55574,0.45714,0.93185,0.99507,0.9969,0.99313,0.92728,0.39407,0.2039,0.83156,0.005743,0.005743,0.005743
45,2484.7,0.54722,0.44664,0.92697,0.99476,0.99583,0.99302,0.93014,0.39307,0.20374,0.83228,0.005644,0.005644,0.005644
46,2537.9,0.54575,0.44774,0.92896,0.99435,0.99351,0.99377,0.93472,0.38416,0.20196,0.82623,0.005545,0.005545,0.005545
47,2591.76,0.54596,0.43806,0.92656,0.99325,0.99088,0.99252,0.92969,0.39118,0.20012,0.83191,0.005446,0.005446,0.005446
48,2645.22,0.53484,0.43314,0.92532,0.9948,0.99654,0.9933,0.93374,0.38929,0.19561,0.82851,0.005347,0.005347,0.005347
49,2699.6,0.5433,0.435,0.92784,0.99313,0.99438,0.99314,0.93697,0.38849,0.19511,0.83013,0.005248,0.005248,0.005248
50,2753.64,0.53583,0.42198,0.92477,0.99449,0.99656,0.99306,0.93171,0.39009,0.19328,0.82911,0.005149,0.005149,0.005149
51,2808.59,0.53487,0.42396,0.92414,0.99529,0.99706,0.99291,0.93595,0.38554,0.19384,0.8278,0.00505,0.00505,0.00505
52,2862.63,0.53285,0.41717,0.92239,0.996,0.99722,0.99377,0.93839,0.38016,0.18775,0.82665,0.004951,0.004951,0.004951
53,2916.14,0.52101,0.41057,0.91971,0.99581,0.99624,0.99334,0.93651,0.3808,0.18587,0.82625,0.004852,0.004852,0.004852
54,2969.68,0.52732,0.40857,0.92522,0.99569,0.99762,0.99365,0.93802,0.38634,0.1885,0.83045,0.004753,0.004753,0.004753
55,3023.22,0.53054,0.41673,0.92332,0.99524,0.99665,0.99351,0.94032,0.37666,0.18425,0.82402,0.004654,0.004654,0.004654
56,3077.35,0.52636,0.40193,0.9234,0.996,0.9962,0.99295,0.93674,0.37835,0.18257,0.82476,0.004555,0.004555,0.004555
57,3131.47,0.51549,0.39049,0.91562,0.99549,0.99586,0.99346,0.93778,0.37876,0.18396,0.82404,0.004456,0.004456,0.004456
58,3185.08,0.51848,0.40131,0.91712,0.99559,0.99776,0.99338,0.93852,0.37279,0.18142,0.82216,0.004357,0.004357,0.004357
59,3238.47,0.51329,0.387,0.91564,0.99467,0.99582,0.99243,0.93541,0.3759,0.18481,0.82283,0.004258,0.004258,0.004258
60,3292.8,0.51584,0.38901,0.91887,0.99529,0.99771,0.99311,0.93716,0.37664,0.17844,0.82382,0.004159,0.004159,0.004159
61,3346.58,0.50942,0.3826,0.91376,0.99397,0.99586,0.99348,0.94023,0.37804,0.18596,0.82296,0.00406,0.00406,0.00406
62,3401.06,0.51195,0.38391,0.91513,0.99585,0.99731,0.99369,0.94006,0.37563,0.18016,0.82113,0.003961,0.003961,0.003961
63,3454.9,0.51096,0.38894,0.91864,0.99564,0.99657,0.99374,0.94066,0.3725,0.17779,0.82221,0.003862,0.003862,0.003862
64,3508.88,0.50812,0.38122,0.91372,0.99546,0.99706,0.99374,0.93892,0.37009,0.17662,0.82033,0.003763,0.003763,0.003763
65,3562.36,0.50086,0.36731,0.91293,0.99576,0.99688,0.99346,0.9406,0.37284,0.17619,0.82029,0.003664,0.003664,0.003664
66,3615.7,0.50392,0.37214,0.91489,0.99553,0.99784,0.9935,0.94074,0.37385,0.17395,0.82277,0.003565,0.003565,0.003565
67,3669.91,0.49939,0.3707,0.91031,0.99566,0.99784,0.99361,0.94197,0.36665,0.17299,0.81957,0.003466,0.003466,0.003466
68,3724.17,0.50257,0.36761,0.91329,0.99569,0.99784,0.99359,0.94184,0.36741,0.17385,0.82087,0.003367,0.003367,0.003367
69,3780.33,0.49732,0.3665,0.91246,0.9937,0.99575,0.9934,0.94082,0.36794,0.17548,0.82029,0.003268,0.003268,0.003268
70,3835.51,0.49296,0.35979,0.90864,0.99578,0.99682,0.9936,0.94029,0.36909,0.17398,0.82062,0.003169,0.003169,0.003169
71,3891.51,0.48844,0.34712,0.90613,0.99593,0.99739,0.99335,0.94168,0.36781,0.1715,0.82075,0.00307,0.00307,0.00307
72,3947.81,0.49296,0.35657,0.91129,0.99536,0.99625,0.99294,0.94271,0.36774,0.17221,0.82258,0.002971,0.002971,0.002971
73,4006.42,0.48954,0.35047,0.90838,0.99603,0.99709,0.99316,0.94307,0.36569,0.16846,0.82052,0.002872,0.002872,0.002872
74,4062.4,0.48529,0.351,0.91094,0.9962,0.99691,0.99342,0.94262,0.36419,0.16748,0.8189,0.002773,0.002773,0.002773
75,4116.42,0.47815,0.34014,0.90866,0.9961,0.99704,0.99351,0.9416,0.36462,0.16666,0.81895,0.002674,0.002674,0.002674
76,4173.15,0.48661,0.34341,0.9055,0.99598,0.99728,0.99353,0.94422,0.36347,0.16629,0.81887,0.002575,0.002575,0.002575
77,4233.76,0.47711,0.33898,0.90303,0.99573,0.99723,0.99369,0.94397,0.36391,0.16669,0.81908,0.002476,0.002476,0.002476
78,4291.11,0.47967,0.34093,0.90611,0.99578,0.99674,0.99364,0.94235,0.36528,0.16955,0.81968,0.002377,0.002377,0.002377
79,4353.44,0.47708,0.33458,0.90327,0.99554,0.99752,0.99374,0.94395,0.3635,0.16616,0.81968,0.002278,0.002278,0.002278
80,4408.8,0.47206,0.33313,0.90438,0.99565,0.99731,0.99339,0.94559,0.36084,0.16383,0.8195,0.002179,0.002179,0.002179
81,4462.5,0.47088,0.32592,0.90352,0.99607,0.99715,0.99361,0.94528,0.36237,0.16632,0.81931,0.00208,0.00208,0.00208
82,4518.75,0.46714,0.32039,0.90016,0.99589,0.99711,0.9937,0.945,0.36304,0.1647,0.81959,0.001981,0.001981,0.001981
83,4575.34,0.46842,0.32049,0.90382,0.99579,0.99708,0.99372,0.94563,0.36043,0.16508,0.81824,0.001882,0.001882,0.001882
84,4631.23,0.46896,0.31908,0.9014,0.99576,0.99734,0.99391,0.94642,0.36025,0.16215,0.81786,0.001783,0.001783,0.001783
85,4687.06,0.46254,0.31827,0.90326,0.99553,0.99735,0.99385,0.94618,0.35959,0.16209,0.81731,0.001684,0.001684,0.001684
86,4742.82,0.4596,0.31196,0.89905,0.996,0.99754,0.99397,0.94494,0.35944,0.16234,0.8171,0.001585,0.001585,0.001585
87,4798.43,0.45717,0.30802,0.89753,0.996,0.99722,0.99389,0.94716,0.36012,0.16072,0.81743,0.001486,0.001486,0.001486
88,4854.09,0.45039,0.30748,0.89752,0.99603,0.99718,0.99388,0.94635,0.35973,0.16093,0.8171,0.001387,0.001387,0.001387
89,4910.22,0.45326,0.30629,0.89963,0.99618,0.99701,0.994,0.94587,0.36078,0.15976,0.81732,0.001288,0.001288,0.001288
90,4968.75,0.44787,0.29739,0.89274,0.99584,0.99712,0.99403,0.94599,0.35942,0.16016,0.81693,0.001189,0.001189,0.001189
91,5050.41,0.34694,0.18599,0.84156,0.99606,0.99707,0.99403,0.94716,0.35882,0.16001,0.81664,0.00109,0.00109,0.00109
92,5106.51,0.34604,0.18703,0.83931,0.99595,0.99709,0.99403,0.94668,0.35868,0.15973,0.81672,0.000991,0.000991,0.000991
93,5163.9,0.34116,0.18281,0.83957,0.99615,0.99708,0.99397,0.94684,0.35812,0.16069,0.81656,0.000892,0.000892,0.000892
94,5218.12,0.33833,0.17912,0.83464,0.99612,0.997,0.99397,0.94777,0.35723,0.1604,0.81673,0.000793,0.000793,0.000793
95,5275.76,0.33814,0.17657,0.83476,0.99618,0.99703,0.99401,0.94795,0.35592,0.15924,0.81621,0.000694,0.000694,0.000694
96,5334.73,0.33602,0.17448,0.8351,0.99614,0.99695,0.99399,0.94946,0.35588,0.1585,0.81637,0.000595,0.000595,0.000595
97,5386.75,0.33512,0.17193,0.83525,0.99621,0.99693,0.99395,0.9486,0.35574,0.15816,0.81646,0.000496,0.000496,0.000496
98,5438.91,0.32947,0.16748,0.83258,0.99618,0.99698,0.99397,0.94827,0.35481,0.15811,0.816,0.000397,0.000397,0.000397
99,5490.78,0.32701,0.16614,0.83262,0.9962,0.99702,0.99399,0.94824,0.35467,0.15617,0.8153,0.000298,0.000298,0.000298
100,5542.9,0.3234,0.16513,0.82931,0.9962,0.997,0.99397,0.94923,0.3543,0.15524,0.81486,0.000199,0.000199,0.000199
